#Release 14.7 - par P.20131013 (nt64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Wed Oct 28 00:35:45 2015

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       bft.ncd
#OUTPUT FILE:      bft_routed_pad.csv
#PART TYPE:        xc7k70t
#SPEED GRADE:      -2
#PACKAGE:          fbg484
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
P19,wbOutputData[24],IOB,IO_L20P_T3_A08_D24_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,LOCATED,NO,NONE,
P20,wbOutputData[23],IOB,IO_L20N_T3_A07_D23_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,LOCATED,NO,NONE,
P21,wbOutputData[20],IOB,IO_L22P_T3_A05_D21_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,LOCATED,NO,NONE,
P22,wbOutputData[19],IOB,IO_L22N_T3_A04_D20_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,LOCATED,NO,NONE,
R1,,IOB18S,IO_L8N_T1_34,UNUSED,,34,,,,,,,,,
R2,,IOB18S,IO_L7N_T1_34,UNUSED,,34,,,,,,,,,
R3,,IOB18M,IO_L12P_T1_MRCC_34,UNUSED,,34,,,,,,,,,
R4,,IOB18S,IO_L11N_T1_SRCC_34,UNUSED,,34,,,,,,,,,
R5,,,VCCO_34,,,34,,,,,any******,,,,
R6,,IOB18S,IO_L8N_T1_33,UNUSED,,33,,,,,,,,,
R7,,IOB18M,IO_L8P_T1_33,UNUSED,,33,,,,,,,,,
R8,,,GND,,,,,,,,,,,,
R9,,,VCCAUX,,,,,,,,1.8,,,,
R10,,,GND,,,,,,,,,,,,
R11,,,VCCAUX,,,,,,,,1.8,,,,
R12,,,GND,,,,,,,,,,,,
R13,,,VCCBRAM,,,,,,,,,,,,
R14,,,GND,,,,,,,,,,,,
R15,,,VCCINT,,,,,,,,1.0,,,,
R16,,IOB33M,IO_L20P_T3_13,UNUSED,,13,,,,,,,,,
R17,wbOutputData[22],IOB,IO_L21P_T3_DQS_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,LOCATED,NO,NONE,
R18,wbOutputData[26],IOB,IO_L19P_T3_A10_D26_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,LOCATED,NO,NONE,
R19,wbOutputData[25],IOB,IO_L19N_T3_A09_D25_VREF_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,LOCATED,NO,NONE,
R20,,,GND,,,,,,,,,,,,
R21,wbOutputData[16],IOB,IO_L24P_T3_A01_D17_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,LOCATED,NO,NONE,
R22,wbOutputData[15],IOB,IO_L24N_T3_A00_D16_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,LOCATED,NO,NONE,
T1,,IOB18M,IO_L10P_T1_34,UNUSED,,34,,,,,,,,,
T2,,,VCCO_34,,,34,,,,,any******,,,,
T3,,IOB18S,IO_L12N_T1_MRCC_34,UNUSED,,34,,,,,,,,,
T4,,IOB18M,IO_L13P_T2_MRCC_34,UNUSED,,34,,,,,,,,,
T5,,IOB18M,IO_L16P_T2_34,UNUSED,,34,,,,,,,,,
T6,,IOB18,IO_0_VRN_33,UNUSED,,33,,,,,,,,,
T7,,,GND,,,,,,,,,,,,
T8,,IOB18S,IO_L18N_T2_33,UNUSED,,33,,,,,,,,,
T9,,IOB18M,IO_L18P_T2_33,UNUSED,,33,,,,,,,,,
T10,,IOB18S,IO_L16N_T2_33,UNUSED,,33,,,,,,,,,
T11,,IOB18M,IO_L16P_T2_33,UNUSED,,33,,,,,,,,,
T12,,,VCCO_33,,,33,,,,,any******,,,,
T13,,IOB18M,IO_L24P_T3_33,UNUSED,,33,,,,,,,,,
T14,,IOB18,IO_25_VRP_33,UNUSED,,33,,,,,,,,,
T15,,IOB33M,IO_L24P_T3_13,UNUSED,,13,,,,,,,,,
T16,,IOB33S,IO_L20N_T3_13,UNUSED,,13,,,,,,,,,
T17,,,GND,,,,,,,,,,,,
T18,wbOutputData[8],IOB,IO_L3P_T0_DQS_13,OUTPUT,LVCMOS18*,13,12,SLOW,,,,LOCATED,NO,NONE,
T19,wbOutputData[13],IOB,IO_0_13,OUTPUT,LVCMOS18*,13,12,SLOW,,,,LOCATED,NO,NONE,
T20,wbOutputData[2],IOB,IO_L6P_T0_13,OUTPUT,LVCMOS18*,13,12,SLOW,,,,LOCATED,NO,NONE,
T21,wbOutputData[12],IOB,IO_L1P_T0_13,OUTPUT,LVCMOS18*,13,12,SLOW,,,,LOCATED,NO,NONE,
T22,,,VCCO_13,,,13,,,,,1.80,,,,
U1,,IOB18S,IO_L10N_T1_34,UNUSED,,34,,,,,,,,,
U2,,IOB18M,IO_L15P_T2_DQS_34,UNUSED,,34,,,,,,,,,
U3,,IOB18S,IO_L13N_T2_MRCC_34,UNUSED,,34,,,,,,,,,
U4,,,GND,,,,,,,,,,,,
U5,,IOB18S,IO_L16N_T2_34,UNUSED,,34,,,,,,,,,
U6,,IOB18S,IO_L10N_T1_33,UNUSED,,33,,,,,,,,,
U7,,IOB18M,IO_L10P_T1_33,UNUSED,,33,,,,,,,,,
U8,,IOB18M,IO_L9P_T1_DQS_33,UNUSED,,33,,,,,,,,,
U9,,,VCCO_33,,,33,,,,,any******,,,,
U10,,IOB18M,IO_L14P_T2_SRCC_33,UNUSED,,33,,,,,,,,,
U11,,IOB18S,IO_L17N_T2_33,UNUSED,,33,,,,,,,,,
U12,,IOB18M,IO_L17P_T2_33,UNUSED,,33,,,,,,,,,
U13,,IOB18S,IO_L24N_T3_33,UNUSED,,33,,,,,,,,,
U14,,,GND,,,,,,,,,,,,
U15,,IOB33S,IO_L24N_T3_13,UNUSED,,13,,,,,,,,,
U16,,IOB33M,IO_L19P_T3_13,UNUSED,,13,,,,,,,,,
U17,wbOutputData[4],IOB,IO_L5P_T0_13,OUTPUT,LVCMOS18*,13,12,SLOW,,,,LOCATED,NO,NONE,
U18,wbOutputData[7],IOB,IO_L3N_T0_DQS_13,OUTPUT,LVCMOS18*,13,12,SLOW,,,,LOCATED,NO,NONE,
U19,,,VCCO_13,,,13,,,,,1.80,,,,
U20,wbOutputData[1],IOB,IO_L6N_T0_VREF_13,OUTPUT,LVCMOS18*,13,12,SLOW,,,,LOCATED,NO,NONE,
U21,wbOutputData[11],IOB,IO_L1N_T0_13,OUTPUT,LVCMOS18*,13,12,SLOW,,,,LOCATED,NO,NONE,
U22,wbOutputData[10],IOB,IO_L2P_T0_13,OUTPUT,LVCMOS18*,13,12,SLOW,,,,LOCATED,NO,NONE,
V1,,,GND,,,,,,,,,,,,
V2,,IOB18S,IO_L15N_T2_DQS_34,UNUSED,,34,,,,,,,,,
V3,,IOB18M,IO_L17P_T2_34,UNUSED,,34,,,,,,,,,
V4,,IOB18M,IO_L14P_T2_SRCC_34,UNUSED,,34,,,,,,,,,
V5,,IOB18,IO_25_VRP_34,UNUSED,,34,,,,,,,,,
V6,,,VCCO_33,,,33,,,,,any******,,,,
V7,,IOB18M,IO_L11P_T1_SRCC_33,UNUSED,,33,,,,,,,,,
V8,,IOB18S,IO_L9N_T1_DQS_33,UNUSED,,33,,,,,,,,,
V9,,IOB18S,IO_L14N_T2_SRCC_33,UNUSED,,33,,,,,,,,,
V10,,IOB18M,IO_L15P_T2_DQS_33,UNUSED,,33,,,,,,,,,
V11,,,GND,,,,,,,,,,,,
V12,,IOB18S,IO_L23N_T3_33,UNUSED,,33,,,,,,,,,
V13,,IOB18M,IO_L23P_T3_33,UNUSED,,33,,,,,,,,,
V14,,IOB33,IO_25_13,UNUSED,,13,,,,,,,,,
V15,,IOB33M,IO_L23P_T3_13,UNUSED,,13,,,,,,,,,
V16,,,VCCO_13,,,13,,,,,1.80,,,,
V17,,IOB33S,IO_L19N_T3_VREF_13,UNUSED,,13,,,,,,,,,
V18,wbOutputData[3],IOB,IO_L5N_T0_13,OUTPUT,LVCMOS18*,13,12,SLOW,,,,LOCATED,NO,NONE,
V19,,IOB33M,IO_L12P_T1_MRCC_13,UNUSED,,13,,,,,,,,,
V20,wbClk,IOB,IO_L11P_T1_SRCC_13,INPUT,LVCMOS18*,13,,,,NONE,,LOCATED,NO,NONE,
V21,,,GND,,,,,,,,,,,,
V22,wbOutputData[9],IOB,IO_L2N_T0_13,OUTPUT,LVCMOS18*,13,12,SLOW,,,,LOCATED,NO,NONE,
W1,,IOB18M,IO_L20P_T3_34,UNUSED,,34,,,,,,,,,
W2,,IOB18S,IO_L17N_T2_34,UNUSED,,34,,,,,,,,,
W3,,,VCCO_34,,,34,,,,,any******,,,,
W4,,IOB18S,IO_L14N_T2_SRCC_34,UNUSED,,34,,,,,,,,,
W5,,IOB18M,IO_L19P_T3_34,UNUSED,,34,,,,,,,,,
W6,,IOB18M,IO_L7P_T1_33,UNUSED,,33,,,,,,,,,
W7,,IOB18S,IO_L11N_T1_SRCC_33,UNUSED,,33,,,,,,,,,
W8,,,GND,,,,,,,,,,,,
W9,,IOB18M,IO_L13P_T2_MRCC_33,UNUSED,,33,,,,,,,,,
W10,,IOB18S,IO_L15N_T2_DQS_33,UNUSED,,33,,,,,,,,,
W11,,IOB18M,IO_L6P_T0_33,UNUSED,,33,,,,,,,,,
W12,,IOB18M,IO_L19P_T3_33,UNUSED,,33,,,,,,,,,
W13,,,VCCO_33,,,33,,,,,any******,,,,
W14,,IOB33M,IO_L22P_T3_13,UNUSED,,13,,,,,,,,,
W15,,IOB33S,IO_L23N_T3_13,UNUSED,,13,,,,,,,,,
W16,,IOB33M,IO_L21P_T3_DQS_13,UNUSED,,13,,,,,,,,,
W17,bftClk,IOB,IO_L14P_T2_SRCC_13,INPUT,LVCMOS18*,13,,,,NONE,,LOCATED,NO,NONE,
W18,,,GND,,,,,,,,,,,,
W19,,IOB33S,IO_L12N_T1_MRCC_13,UNUSED,,13,,,,,,,,,
W20,,IOB33S,IO_L11N_T1_SRCC_13,UNUSED,,13,,,,,,,,,
W21,wbOutputData[6],IOB,IO_L4P_T0_13,OUTPUT,LVCMOS18*,13,12,SLOW,,,,LOCATED,NO,NONE,
W22,wbOutputData[5],IOB,IO_L4N_T0_13,OUTPUT,LVCMOS18*,13,12,SLOW,,,,LOCATED,NO,NONE,
Y1,,IOB18S,IO_L20N_T3_34,UNUSED,,34,,,,,,,,,
Y2,,IOB18S,IO_L21N_T3_DQS_34,UNUSED,,34,,,,,,,,,
Y3,,IOB18M,IO_L21P_T3_DQS_34,UNUSED,,34,,,,,,,,,
Y4,,IOB18S,IO_L19N_T3_VREF_34,UNUSED,,34,,,,,,,,,
Y5,,,GND,,,,,,,,,,,,
Y6,,IOB18S,IO_L7N_T1_33,UNUSED,,33,,,,,,,,,
Y7,,IOB18S,IO_L12N_T1_MRCC_33,UNUSED,,33,,,,,,,,,
Y8,,IOB18M,IO_L12P_T1_MRCC_33,UNUSED,,33,,,,,,,,,
Y9,,IOB18S,IO_L13N_T2_MRCC_33,UNUSED,,33,,,,,,,,,
Y10,,,VCCO_33,,,33,,,,,any******,,,,
Y11,,IOB18S,IO_L6N_T0_VREF_33,UNUSED,,33,,,,,,,,,
Y12,,IOB18S,IO_L19N_T3_VREF_33,UNUSED,,33,,,,,,,,,
Y13,,IOB18M,IO_L21P_T3_DQS_33,UNUSED,,33,,,,,,,,,
Y14,,IOB33S,IO_L22N_T3_13,UNUSED,,13,,,,,,,,,
Y15,,,GND,,,,,,,,,,,,
Y16,,IOB33S,IO_L21N_T3_DQS_13,UNUSED,,13,,,,,,,,,
Y17,,IOB33S,IO_L14N_T2_SRCC_13,UNUSED,,13,,,,,,,,,
Y18,,IOB33M,IO_L13P_T2_MRCC_13,UNUSED,,13,,,,,,,,,
Y19,,IOB33S,IO_L13N_T2_MRCC_13,UNUSED,,13,,,,,,,,,
Y20,,,VCCO_13,,,13,,,,,1.80,,,,
Y21,wbOutputData[0],IOB,IO_L7P_T1_13,OUTPUT,LVCMOS18*,13,12,SLOW,,,,LOCATED,NO,NONE,
Y22,reset,IOB,IO_L7N_T1_13,INPUT,LVCMOS18*,13,,,,NONE,,LOCATED,NO,NONE,

# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
# 
#* Default value.
#** This default Pullup/Pulldown value can be overridden in Bitgen. 
#All RSVD_0 pins must be tied to GROUND.
#****** Special VCCO requirements may apply. Please consult the device 
#       family datasheet for specific guideline on VCCO requirements. 
#
#
#
